Ano;Dia Juliano;Hora;Temp. Interna (ºC);Pressão Atmosfé-rica    (hPa);Temp. do Ar 2m     (ºC);Umidade Relativa do Ar 2m (%);Temp. Máxima do Ar  2m (ºC);Temp. Mínima do Ar  2m (ºC);Velocidade do Vento 10m      (m/s);Direção do Vento 10m (graus);Velocidade do Vento Máxima (m/s)       ;Direção da Velocidade do  Vento Máxima (graus);Precipitação Pluviométrica (mm);Radiação Solar Total (kJ/m2);Nivel de água    (m);Temp. do  Solo 10cm (ºC);Temp. do Solo 20 cm (ºC);Temp. do Solo 50 cm (ºC);Umidade do Solo (%);Fluxo de calor no Solo (kJ/m2);Bateria (volts);Corrente do Painel Solar  (mA);Código II
2013;91;100;26,11;986,92;26,86;77,7;27,19;26,86;5,286;42,51;7,48;46,64;0;0;0;-26,84;33,22;33,84;18,52;60,76;11,96;-153,3;41
2013;91;200;25,59;986,44;26,42;79,7;26,9;26,42;5,016;41,9;6,623;39,81;0;0;0;-26,82;32,81;33,55;18,51;64,61;11,9;-154,7;41
2013;91;300;25,26;986,4;26,28;80,6;26,51;26,25;4,475;41,66;7,07;49,74;0;0;0;-26,82;32,41;33,26;18,5;67,72;12,07;-158,4;41
2013;91;400;25,13;986,47;26,07;80,5;26,46;26,04;3,829;34,66;5,864;52,35;0;0;0;-26,82;32,04;32,97;18,49;68,3;10,15;-233,6;41
2013;91;500;25,13;986,97;26,01;81,2;26,27;25,99;3,062;32,03;4,419;28,95;0;0;0;-26,83;31,72;32,7;18,48;66,9;10,17;-157,3;41
2013;91;600;24,74;987,23;26,17;78,1;26,17;25,79;2,523;50,31;3,807;45,68;0;23,696;0;-26,83;31,44;32,45;18,47;64,49;11,88;-111,1;41
2013;91;700;27,98;987,66;27,89;65,66;27,89;26,19;3,942;64,36;5,846;49,63;0;556,24;0;-26,84;31,19;32,21;18,46;63,8;10,26;-59,77;41
2013;91;1300;42,66;984,95;35,15;38,46;35,72;34,54;3,175;156,2;5,113;134,9;0,2;1877,7;0;-26,94;36,43;33,73;18,77;-88,1;12,76;198,4;41
2013;91;1400;44,67;984,23;35,37;38,06;35,63;34,22;2,812;138,7;5,05;137,9;0;3160,2;0;-26,94;37,71;34,63;18,79;-172,8;12,77;178,5;41
2013;91;1500;45,04;983,89;35,28;37,83;35,75;34,63;3,15;131,9;5,368;151,1;0;2593,7;0;-26,95;38,62;35,51;18,78;-157,5;12,64;103,7;41
2013;91;1600;44,72;983,58;34,98;38,11;35,83;34,14;2,208;138,6;4,01;169;0;1626,2;0;-26,95;39,07;36,23;18,75;-129,2;11,55;31,31;41
2013;91;1700;41,88;983,86;34,12;40,48;35,31;34,12;1,708;145,3;3,402;209,1;0;567,3;0;-26,95;38,99;36,7;18,68;-81,8;12,53;-80,2;41
2013;91;1800;34,46;984,15;32,32;45,44;34,06;32,32;1,527;124,2;3,021;164,5;0;35,893;0;-26,95;38,43;36,85;18,62;-30,22;12,11;-154,4;41
2013;91;1900;31,22;984,52;31,05;48,81;32,3;31,05;0,802;109,9;1,274;142,8;0;0;0;-26,7;37,73;36,77;18,58;3,666;10,31;-158,1;41
2013;92;1200;38,56;985,27;32,68;49,22;34,13;32,24;3,836;71,9;5,99;78,4;0,2;3060;0;-26,93;34,02;33,13;18,57;-95;12,54;1,488;41
2013;92;1300;38,55;984,17;32,73;47,58;34,39;32,37;3,248;80,8;5,679;84,8;0;1811,3;0;-26,94;35,17;33,63;18,58;-120,7;11,21;49,1;41
2013;92;1400;39,74;983,62;34,23;43,16;35,75;32,93;3,173;67,02;5,574;81,7;0;2024,6;0;-26,94;35,9;34,19;18,58;-99,1;12,61;88,4;41
2013;92;1500;40,87;983,23;34,47;40,33;35,9;33,71;3,221;61,64;5,348;33,63;0;2008,2;0;-26,94;36,45;34,68;18,58;-92,3;11,33;72,4;41
2013;92;1600;43,14;983,09;35,22;36,36;35,84;34,42;3,226;83,4;5,493;68,5;0;1544,2;0;-26,93;36,83;35,12;18,57;-80,7;12,55;83,2;41
2013;92;1700;40,4;982,95;34,26;38,77;35,26;34,2;3,166;87,4;4,749;81,9;0;564,7;0;-26,94;36,87;35,43;18,53;-53,96;12,5;-24,96;41
2013;92;1800;33,98;983,14;32,38;43,97;34,27;32,38;2,218;60,38;4,098;75,4;0;44,352;0;-26,93;36,54;35,56;18,5;-16,42;10,73;-146,5;41
2013;92;1900;30,64;983,75;29,57;66,49;32,42;29,57;4,793;29,4;7,07;11,27;0;0;0;-26,66;36,04;35,52;18,46;11,5;12,2;-150,2;41
2013;92;2000;28,75;984,95;28,53;64,52;29,59;28,5;4,749;28,97;7,69;1,12;0;0;0;-26,79;35,5;35,35;18,44;33,24;10,37;-153,6;41
2013;93;900;33,26;987,05;29,68;62,98;30,3;29,11;3,003;78,7;4,09;101;0,2;547,4;0;-26,9;31,59;32,16;18,38;1,937;12,55;23,08;41
2013;93;1000;34,46;986,95;31,4;53,84;31,4;29,37;3,375;77;4,92;73,3;0;2033,8;0;-26,94;32,13;32,2;18,42;-25,1;11,32;318;41
2013;93;1100;36,01;986,2;31,08;54,31;32,97;30,82;3,65;93,1;5,814;88,1;0;2065,9;0;-26,94;32,9;32,42;18,45;-66,76;12,86;95,1;41
2013;93;1200;36,94;985,33;31,52;50,4;32,75;31,21;3,266;95;5,569;90,7;0;1868,2;0;-26,94;33,72;32,79;18,47;-84,1;11,29;85,7;41
2013;93;1300;36,71;984,46;32,18;49,07;33,17;31,52;2,299;98,9;4,15;57,12;0;1280,8;0;-26,94;34,4;33,21;18,48;-80,5;12,58;43,99;41
2013;93;1400;38,63;983,57;33,51;46,32;34;32,08;2,337;101;3,83;77;0;1612;0;-26,94;34,84;33,62;18,46;-64,96;12,58;165,8;41
2013;93;1500;38,19;983,07;33,09;47,74;33,89;32,69;1,672;108,2;3,409;86,8;0;1075,1;0;-26,93;35,19;33,95;18,48;-62,05;11,21;55,97;41
2013;93;1600;38,72;982,98;33,56;46,19;34,02;32,87;1,702;83,6;3,064;140,1;0;1053,1;0;-26,93;35,5;34,26;18,46;-57,6;11,27;91,4;41
2013;93;1700;38,35;982,96;32,88;48,04;34;32,81;1,199;167,6;2,335;166,5;0;395,91;0;-26,94;35,58;34,5;18,45;-40,09;12,49;11,99;41
2013;93;1800;33,06;983,06;31,48;51,09;32,94;31,48;0,917;150,4;1,791;87,4;0;36,678;0;-26,94;35,4;34,63;18,42;-15,18;10,46;-158;41
2013;93;1900;30,11;983,37;29,26;66,11;31,47;29,26;2,515;211,2;4,451;220,4;0;0;0;-26,74;35,03;34,62;18,39;8,91;12,09;-152,5;41
2013;93;2000;28,16;983,63;28,24;69,09;29,27;28,24;1,372;219;2,006;213,2;0;0;0;-26,72;34,59;34,51;18,37;27,53;10,35;-156,1;41
2013;95;1400;41,79;983,85;33,27;47,91;34,12;33,12;2,273;84,1;3,785;61;0,2;1606,2;0;-26,94;33,04;31,44;18,67;-81,1;12,3;123,3;41
2013;95;1500;40,1;983,15;33,24;46,76;35,19;32,91;2,252;89,1;3,587;38,33;0;1574,6;0;-26,93;33,93;32,04;18,69;-114,4;12,79;148,8;41
2013;95;1600;41,06;982,99;34,16;43,86;34,61;33,25;2,252;71,4;3,802;42,29;0;1253,8;0;-26,94;34,42;32,61;18,66;-90,8;11,54;342;41
2013;95;1700;37,4;983,28;33,44;45,16;34,3;33,09;1,784;84,8;3,342;109,9;0;282,01;0;-26,92;34,44;32,99;18,62;-53,16;11,19;25,88;41
2013;95;1800;32,63;983,88;31,32;55,54;33,46;31,32;2,997;35,69;4,83;16,06;0;26,283;0;-26,91;34,14;33,16;18,59;-18,87;12,27;-151,1;41
2013;95;1900;30,39;984,38;29,98;62,46;31,34;29,98;4,597;21,54;6,097;16,98;0;0;0;-26,85;33,7;33,17;18,56;7,09;10,61;-156,2;41
2013;95;2000;28,78;985,32;28,41;68,78;29,97;28,4;5,579;25,46;7,94;32,23;0;0;0;-26,7;33,23;33,06;18,53;25,79;12,18;-164,9;41
2013;95;2100;27,41;986,23;27,46;75,3;28,39;27,45;6,229;25,62;8,33;41,89;0;0;0;-26,83;32,77;32,88;18,51;38,3;10,12;-163,3;41
2013;95;2200;26,44;986,77;26,83;79,1;27,45;26,76;3,965;26,81;5,759;21,29;0;0;0;-26,75;32,32;32,67;18,48;46,67;10,35;-1725;41
2013;95;2300;25,78;986,92;26,38;82,5;26,8;26,38;3,179;22,38;4,69;42,12;0;0;0;-26,83;31,9;32,43;18,47;52,03;11,96;-160,8;41
2013;95;2400;25,01;986,38;25,58;87,5;26,36;25,58;1,914;11,99;2,733;35,05;0;0;0;-26,77;31,52;32,18;18,45;55,3;10,31;-157,7;41
