Index;t;x;y
0,000000000;0,000000000;3,000000000;1,000000000
1,000000000;0,114765116;3,035932641;0,975166875
2,000000000;0,218826133;3,071119494;0,953360021
3,000000000;0,325765616;3,109875313;0,931642012
4,000000000;0,435589954;3,152434015;0,910056053
5,000000000;0,548539894;3,199143809;0,888601221
6,000000000;0,664881213;3,250405689;0,867277891
7,000000000;0,784914070;3,306685695;0,846087020
8,000000000;0,908973595;3,368525511;0,825031308
9,000000000;1,037427958;3,436553396;0,804116836
10,000000000;1,170675470;3,511496100;0,783354827
11,000000000;1,309130935;3,594185830;0,762764920
12,000000000;1,453194905;3,685555549;0,742380285
13,000000000;1,603202879;3,786615432;0,722254075
14,000000000;1,759337390;3,898390292;0,702468209
15,000000000;1,921505794;4,021804766;0,683142077
16,000000000;2,089209198;4,157518888;0,664436473
17,000000000;2,261478286;4,305768303;0,646544639
18,000000000;2,436972557;4,466316721;0,629665346
19,000000000;2,614300068;4,638641908;0,613962385
20,000000000;2,792444937;4,822338059;0,599531002
21,000000000;2,971143711;5,017621392;0,586387307
22,000000000;3,149780018;5,224233583;0,574566377
23,000000000;3,320103612;5,432181305;0,564513428
24,000000000;3,482962414;5,641306292;0,556009213
25,000000000;3,639262773;5,851721062;0,548867228
26,000000000;3,789747087;6,063505434;0,542939567
27,000000000;3,935024622;6,276700931;0,538107823
28,000000000;4,075601072;6,491315724;0,534276181
29,000000000;4,211900168;6,707328185;0,531366426
30,000000000;4,344280984;6,924691481;0,529314232
31,000000000;4,473050859;7,143337036;0,528066404
32,000000000;4,596728719;7,360069296;0,527580565
33,000000000;4,712536118;7,569003617;0,527776277
34,000000000;4,822021795;7,771858398;0,528556938
35,000000000;4,926275670;7,969810899;0,529854705
36,000000000;5,026092445;8,163686360;0,531619869
37,000000000;5,122077603;8,354089595;0,533814916
38,000000000;5,214708851;8,541480385;0,536411018
39,000000000;5,304372772;8,726216802;0,539385786
40,000000000;5,391387438;8,908580216;0,542721714
41,000000000;5,476021215;9,088799078;0,546405226
42,000000000;5,558503339;9,267060048;0,550425914
43,000000000;5,639034928;9,443523148;0,554776160
44,000000000;5,717787759;9,618312330;0,559450359
45,000000000;5,794917957;9,791540147;0,564445108
46,000000000;5,870567076;9,963306267;0,569758916
47,000000000;5,944861009;10,133691430;0,575391790
48,000000000;6,017919234;10,302775598;0,581345645
49,000000000;6,089848353;10,470620613;0,587623614
50,000000000;6,160754630;10,637297136;0,594230960
51,000000000;6,230733140;10,802857416;0,601174041
52,000000000;6,299882551;10,967368304;0,608461665
53,000000000;6,368295979;11,130888076;0,616104248
54,000000000;6,436068912;11,293483628;0,624114711
55,000000000;6,503296450;11,455222233;0,632508321
56,000000000;6,570079244;11,616184022;0,641303618
57,000000000;6,636523262;11,776459452;0,650522730
58,000000000;6,702744739;11,936158865;0,660192489
59,000000000;6,768874773;12,095420636;0,670345764
60,000000000;6,835059944;12,254408832;0,681022409
61,000000000;6,901480310;12,413351287;0,692273366
62,000000000;6,968352957;12,572540588;0,704163180
63,000000000;7,035959374;12,732388278;0,716777504
64,000000000;7,104681019;12,893491232;0,730234139
65,000000000;7,175071740;13,056771155;0,744704620
66,000000000;7,248004493;13,223757868;0,760458129
67,000000000;7,325058225;13,397351092;0,777974362
68,000000000;7,406004688;13,576085468;0,797378786
69,000000000;7,486822459;13,750272354;0,817818288
70,000000000;7,567625076;13,919577489;0,839360124
71,000000000;7,646637720;14,079850628;0,861534159
72,000000000;7,714478602;14,212834787;0,881477844
73,000000000;7,775654805;14,328743216;0,900200320
74,000000000;7,832580364;14,432910752;0,918266417
75,000000000;7,886382950;14,527869336;0,935925158
76,000000000;7,937709974;14,615096363;0,953310611
77,000000000;7,986986719;14,695574465;0,970505839
78,000000000;8,034518411;14,770014014;0,987567709
79,000000000;8,080534207;14,838952319;1,004536805
80,000000000;8,125215042;14,902814234;1,021444075
81,000000000;8,168707857;14,961944431;1,038313912
82,000000000;8,211132050;15,016624840;1,055165003
83,000000000;8,252586932;15,067091185;1,072012032
84,000000000;8,293161178;15,113549004;1,088868662
85,000000000;8,332928647;15,156171803;1,105745213
86,000000000;8,371952852;15,195109631;1,122649920
87,000000000;8,410293398;15,230497646;1,139591323
88,000000000;8,448001774;15,262453340;1,156576156
89,000000000;8,485124309;15,291081047;1,173610353
90,000000000;8,521702570;15,316473556;1,190698991
91,000000000;8,557775519;15,338714649;1,207847113
92,000000000;8,593378054;15,357878906;1,225058895
93,000000000;8,628541684;15,374033163;1,242337797
94,000000000;8,663297892;15,387238627;1,259688109
95,000000000;8,697670570;15,397548590;1,277111071
96,000000000;8,731689327;15,405013570;1,294611465
97,000000000;8,765378223;15,409677646;1,312191892
98,000000000;8,798758637;15,411580518;1,329854082
99,000000000;8,831855413;15,410758000;1,347602101
100,000000000;8,864688339;15,407241678;1,365437796
101,000000000;8,897276877;15,401059737;1,383363222
102,000000000;8,929641805;15,392236445;1,401381535
103,000000000;8,961800381;15,380793405;1,419494280
104,000000000;8,993771503;15,366748427;1,437704211
105,000000000;9,025570935;15,350117459;1,456012565
106,000000000;9,057216587;15,330912388;1,474422029
107,000000000;9,088727317;15,309140962;1,492936084
108,000000000;9,120118819;15,284809696;1,511556552
109,000000000;9,151405441;15,257923532;1,530284577
110,000000000;9,182606850;15,228479810;1,549124613
111,000000000;9,213735337;15,196479600;1,568076767
112,000000000;9,244811544;15,161912659;1,587146285
113,000000000;9,275851597;15,124769864;1,606335726
114,000000000;9,306871253;15,085039657;1,625647423
115,000000000;9,337888474;15,042704624;1,645085055
116,000000000;9,368917760;14,997749067;1,664650072
117,000000000;9,399982646;14,950140865;1,684349537
118,000000000;9,431100146;14,899853567;1,704186293
119,000000000;9,462290725;14,846851873;1,724165207
120,000000000;9,493574695;14,791096898;1,744290847
121,000000000;9,524975798;14,732539568;1,764569729
122,000000000;9,556514849;14,671132032;1,785006166
123,000000000;9,588221713;14,606804285;1,805609955
124,000000000;9,620120347;14,539492900;1,826386612
125,000000000;9,652241907;14,469114486;1,847345786
126,000000000;9,684620241;14,395573534;1,868498238
127,000000000;9,717289840;14,318766652;1,889854379
128,000000000;9,750294414;14,238561606;1,911429716
129,000000000;9,783680075;14,154811613;1,933240211
